"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","平成30年(2018)","平成31年(2019)","令和2年(2020)","経度","緯度","分類"
"100206","302031","橋本5-2","地価公示","商業","橋本市","御幸辻字上栗坪１４８番１","","135.605565","34.336908","","","","","","","","","","","","","","","","","","","","","","","47,800","47,100","46,500","46,000","45,300","44,500","135.605565000003","34.3369079999968","R02地価公示標準地"
"100224","302031","橋本5-3","地価公示","商業","橋本市","高野口町伏原字野中９９３番外","","135.574746","34.308289","","","","","","","","","","","","","","","","","","","","","","","","","","","40,300","40,300","135.574746000008","34.3082889999992","R02地価公示標準地"
"100112","302040","有田5-1","地価公示","商業","有田市","箕島字船面８７６番５","","135.124497","34.08527447","315,000","295,000","289,000","276,000","262,000","248,000","232,000","210,000","195,000","180,000","159,000","142,000","126,000","115,000","108,000","103,000","96,300","89,900","84,400","78,000","72,500","67,800","64,200","61,400","59,100","57,100","55,200","53,400","135.124497000006","34.0852744699975","R02地価公示標準地"
"100220","302040","有田5-2","地価公示","商業","有田市","古江見字西坪１７７番１外","","135.122791","34.07947","","","","","","","","","","","","","","","","","","","","","","","","","","60,800","59,700","58,700","135.122791000006","34.079469999997","R02地価公示標準地"
"100231","302058","御坊5-1","地価公示","商業","御坊市","薗字宮ノ前３１２番１","","135.151624","33.893310","","","","","","","","","","","","","","","","","","","","","","","","","","","","64,100","135.151624000005","33.8933099999965","R02地価公示標準地"
"100118","302058","御坊5-2","地価公示","商業","御坊市","湯川町財部字受持之本８３１番３外","","135.1598887","33.90029539","","","","","","","","","","","","","","","","","","84,500","78,800","75,100","71,700","69,300","67,300","66,300","65,500","64,800","63,500","62,600","135.159888700003","33.9002953899968","R02地価公示標準地"
"100125","302066","田辺5-1","地価公示","商業","田辺市","下屋敷町２１番６外","","135.3820773","33.73016567","448,000","434,000","424,000","416,000","412,000","408,000","393,000","340,000","292,000","251,000","214,000","183,000","157,000","141,000","130,000","121,000","112,000","103,000","94,000","86,500","81,000","76,500","72,800","71,000","69,800","69,000","68,400","67,900","135.382077300005","33.730165669998","R02地価公示標準地"
"100126","302066","田辺5-2","地価公示","商業","田辺市","湊９９５番３外","「湊１５－５」","135.3828201","33.73220973","","","620,000","600,000","590,000","580,000","550,000","475,000","402,000","341,000","287,000","242,000","211,000","190,000","171,000","159,000","146,000","133,000","121,000","111,000","104,000","98,800","94,900","92,300","89,900","88,600","87,500","86,600","135.382820100006","33.732209729998","R02地価公示標準地"
"100210","302074","新宮5-1","地価公示","商業","新宮市","馬町２丁目３番２","","135.987486","33.728530","","","","","","","","","","","","","","","","","","","","","","","","66,100","65,200","64,300","63,400","62,600","135.987486000006","33.7285300000033","R02地価公示標準地"
"100131","302074","新宮5-2","地価公示","商業","新宮市","井の沢６６９６番２３外","井の沢３－５","135.9917754","33.72338984","","","230,000","228,000","224,000","220,000","215,000","209,000","198,000","182,000","170,000","155,000","142,000","132,000","124,000","117,000","110,000","102,000","97,000","88,000","84,100","82,800","81,500","80,200","79,000","77,900","76,900","76,000","135.991775400005","33.7233898400022","R02地価公示標準地"
"100141","302082","紀の川5-1","地価公示","商業","紀の川市","上野字名賀１０９番４","","135.3597095","34.26174913","","","200,000","190,000","174,000","168,000","155,000","145,000","135,000","126,000","117,000","100,000","86,000","78,000","72,500","68,100","63,400","58,400","54,300","50,900","47,000","44,400","43,000","41,300","40,200","39,500","39,000","38,700","135.359709500004","34.2617491299978","R02地価公示標準地"
"100142","302082","紀の川5-2","地価公示","商業","紀の川市","粉河字西宅地２１８９番４","","135.4036002","34.27580652","","","145,000","142,000","139,000","135,000","126,000","120,000","115,000","105,000","97,800","86,500","78,700","72,000","68,000","64,800","61,000","56,700","53,200","49,700","46,200","43,600","42,300","41,100","40,000","39,000","38,100","37,200","135.403600200003","34.2758065199973","R02地価公示標準地"
"100143","302082","紀の川5-3","地価公示","商業","紀の川市","名手西野字杉ノ森２８６番３外","","135.4341885","34.27242743","","","","","","","","","","","","","","","","","","48,400","46,100","43,600","40,500","38,800","37,300","35,600","34,000","32,600","31,300","30,400","135.434188500005","34.2724274299978","R02地価公示標準地"
"100144","302082","紀の川5-4","地価公示","商業","紀の川市","桃山町最上字大畑毛１５７番３","","135.3430477","34.23829013","","","","","","","","","64,000","60,200","56,400","52,500","48,300","45,000","43,000","40,900","38,900","36,500","34,300","32,400","30,500","29,300","28,400","27,600","26,900","26,300","25,800","25,400","135.343047700006","34.2382901299965","R02地価公示標準地"
